HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,B-V,e_B-V,V-I,hip2_oid,ic,UW,Testing
18145,5,0,1,1.015717834,1.07,0.2434176613,0.48,2.28,1.11,4.93,1.6,5.37,0.91,76,-0.59,1,0.0,9.127,0.0016,0.013,0,1.309,0.04,1.27,18101,0,"0.99,-0.07,2.06,-0.27,0.01,0.93,-0.18,0.15,0.26,0.62,0.33,-0.14,0.08,0.33,1.04",false
18158,15,3,2,1.0163269387,1.14,0.2510240099,0.48,5.69,1.17,1.77,1.36,3.54,0.87,82,6.58,1,0.0,8.0907,0.0015,0.01,0,1.058,0.028,1.02,18114,0,"1.74,-0.14,3.41,-0.82,0.10,1.45,-0.37,0.25,0.36,1.18,0.52,-0.24,0.60,0.36,1.80",false
18176,5,0,1,1.0176662513,1.12,0.2720072572,0.53,9.48,1.33,-26.04,1.11,-20.1,0.92,88,0.74,1,0.0,9.3517,0.0015,0.014,0,0.555,0.032,0.63,18132,0,"1.03,-0.17,1.99,-0.29,0.08,0.91,0.10,0.08,0.03,0.96,0.13,0.01,0.64,-0.16,1.14",false
18222,5,0,1,1.0199772483,0.85,0.2954962384,0.49,5.49,0.96,-6.2,1.09,14.05,0.84,78,-1.19,0,0.0,8.4385,0.0021,0.013,0,1.068,0.02,1.03,18176,0,"1.18,-0.50,1.91,-0.36,0.17,0.95,-0.19,0.09,-0.09,0.86,0.22,-0.18,0.07,-0.33,1.07",false
18227,5,0,1,1.0201874292,0.87,0.280803965,0.41,7.77,0.93,1.06,1.15,-14.84,0.77,82,-1.49,0,0.0,9.064,0.0013,0.01,0,0.516,0.025,0.59,18181,0,"1.04,0.00,2.20,-0.17,0.19,0.97,-0.05,0.07,0.11,0.77,0.14,-0.15,0.19,-0.10,1.14",false
18228,5,0,1,1.0201993369,1.01,0.2650195203,0.57,2.54,1.1,24.02,1.04,-8.3,0.88,88,0.73,1,0.0,8.6979,0.0019,0.016,0,1.177,0.024,1.14,18182,0,"1.11,-0.21,1.87,-0.32,0.09,0.98,0.11,0.03,-0.07,1.03,0.03,-0.10,0.30,-0.24,1.19",false
18267,5,0,1,1.0230466302,0.61,0.2900118657,0.34,48.98,0.7,217.57,0.78,-165.3,0.53,80,3.78,0,0.0,6.951,0.001,0.007,0,0.719,0.001,0.77,18221,0,"2.25,-0.20,4.16,-0.52,0.63,1.97,-0.16,0.13,0.26,1.70,0.24,-0.17,0.60,-0.28,2.51",false
18274,55,3,2,1.0234532827,1.01,0.2403501027,0.48,6.62,0.99,9.62,1.34,-62.55,0.96,75,6.1,0,0.0,7.7221,0.0011,0.008,0,1.107,0.016,1.07,18228,0,"1.78,-0.20,3.38,-0.55,0.18,1.62,-0.42,0.24,0.29,1.16,0.50,-0.31,0.23,0.18,1.61",false
18327,5,0,1,1.0258471845,1.02,0.2966804452,0.58,23.87,1.19,148.39,1.35,-24.87,0.98,90,-0.41,0,0.0,9.1429,0.0023,0.019,0,0.895,0.001,0.94,18281,0,"0.97,-0.30,1.69,-0.12,0.09,0.87,0.04,0.03,0.09,0.72,0.04,-0.04,0.36,-0.16,0.99",false
18425,5,2,1,1.0314414148,1.54,0.2837116956,0.79,4.19,1.68,-4.94,1.89,-8.91,1.55,83,1.3,0,0.0,10.0072,0.0029,0.025,0,0.559,0.055,0.63,18377,0,"0.83,-0.26,1.44,-0.33,-0.10,0.68,-0.07,0.05,0.05,0.59,0.10,-0.13,0.15,-0.13,0.71",false
18474,5,0,1,1.0336062782,1.08,0.2711721285,0.45,3.34,1.14,29.72,1.16,-8.76,0.89,83,0.56,0,0.0,8.8643,0.0063,0.035,1,0.505,0.015,0.58,18426,0,"1.16,-0.25,2.32,-0.55,-0.12,0.94,0.13,0.06,0.07,0.92,0.09,-0.10,0.24,-0.26,1.17",false
18542,5,0,1,1.0384162298,0.92,0.2727642499,0.41,2.64,0.95,-7.47,1.1,-6.88,0.81,92,1.13,0,0.0,8.4986,0.0012,0.012,0,1.105,0.018,1.07,18494,0,"1.26,-0.12,2.65,-0.38,-0.04,1.16,0.08,0.05,0.03,0.99,0.11,-0.22,0.26,-0.19,1.34",false
18551,5,0,1,1.0394174835,1.46,0.2476082617,0.65,5.15,1.45,1.3,1.54,-12.59,1.12,100,0.83,1,0.0,9.8,0.0022,0.019,0,0.48,0.038,0.55,18503,0,"0.77,-0.04,1.66,-0.22,0.05,0.74,-0.04,0.06,-0.03,0.69,0.13,-0.20,0.16,-0.02,0.95",false
18576,5,0,1,1.0410315049,0.91,0.2633039041,0.35,7.15,0.9,4.68,1.22,-44.4,0.81,100,2.47,1,0.0,8.5537,0.0012,0.009,0,0.727,0.014,0.78,18528,0,"1.37,-0.14,3.39,-0.28,-0.01,1.34,0.22,0.06,-0.02,0.98,0.12,-0.25,0.34,-0.15,1.46",false
18595,7,1,1,1.0416725766,1.02,0.298785819,0.6,12.46,1.09,27.55,1.07,-61.77,0.79,124,2.64,0,0.0,8.4057,0.0012,0.009,0,0.498,0.015,0.57,18547,180,"1.46,-0.41,3.35,-0.68,-0.16,1.20,0.07,0.03,0.13,1.17,0.06,-0.43,0.46,-0.32,1.50",false
18609,5,1,1,1.0425017909,1.32,0.2950269182,0.49,16.8,1.42,77.85,1.42,-145.24,1.03,120,2.43,0,0.0,9.0353,0.0011,0.012,0,0.784,0.017,0.82,18561,0,"1.09,-0.33,2.48,-0.55,-0.21,0.85,0.04,0.04,0.04,0.82,0.07,-0.31,0.29,-0.10,1.13",false
18626,5,0,1,1.0437615654,1.14,0.27601652,0.46,1.01,1.23,-15.33,1.49,-18.23,0.97,125,0.38,0,0.0,8.9766,0.0021,0.019,0,1.776,0.04,2.09,18578,0,"0.96,-0.53,2.33,-0.12,-0.17,0.88,-0.06,0.10,0.11,0.69,0.26,-0.27,0.33,0.04,1.06",false
18634,5,0,1,1.0442678072,0.44,0.2439130813,0.27,5.99,0.5,-9.49,0.55,-59.94,0.45,115,0.64,0,0.0,6.936,0.001,0.009,0,1.178,0.009,1.14,18586,0,"2.49,-0.63,3.97,-0.59,-0.01,2.16,0.15,-0.15,0.05,1.93,-0.27,-0.29,0.70,-0.38,2.31",false
