oid,ra,dec,Main identifier,Parrallax,Radial velocity,pmra,pmdec
660882,55.19295726168,25.32948847956,"*  11 Tau",5.8067,6.0,9.774,-15.562
661336,56.20089556751999,24.28946759207,"*  16 Tau",7.3852,5.5,19.849,-44.966
661210,56.21890367416667,24.113336449166667,"*  17 Tau",8.06,6.98,20.84,-46.06
674151,56.29058389182,24.83926199956,"*  18 Tau",7.2222,4.8,20.218,-46.124
674364,56.45669400833333,24.36774621111111,"*  20 Tau",8.51,7.4,20.95,-45.98
674168,56.47698521152,24.55450991618,"*  21 Tau",7.3053,6.0,20.331,-46.022
674171,56.51208469056,24.52789678212,"*  22 Tau",7.4231,6.9,19.582,-44.878
675803,56.58155767833333,23.94835590111111,"*  23 Tau",8.58,6.2,21.13,-43.65
674246,56.83766095514,24.116267823319998,"*  24 Tau",7.1999,5.75,20.344,-45.076
675993,57.23725791723,23.85713188897,"*  26 Tau",11.5943,11.01,48.077,-57.903
675903,57.290594105,24.053416743611113,"*  27 Tau",8.53,8.5,17.7,-44.18
676291,57.29673582413,24.13671019778,"*  28 Tau",7.2414,5.1,19.496,-47.65
676410,56.871152303749994,24.105135651944444,"* eta Tau",8.09,5.4,19.34,-43.67
674152,56.302065750833336,24.46728048055555,"* q Tau",7.97,5.66,21.24,-40.56
661043,54.89774339718958,24.118439144785555,"2MASS J03393545+2407063",7.2191,22.16,22.681,-45.692
16487391,54.90911989084,24.380369509319998,"2MASS J03393818+2422492",3.2394,-18.34,-5.358,-13.017
16487393,54.95533811124,24.41526845848,"2MASS J03394928+2424549",3.0901,-7.76842,21.524,-7.193
661173,55.06209643181584,25.32193672129667,"2MASS J03401489+2519189",7.4294,4.34952,21.093,-46.227
8376925,55.07849573586374,23.90657944533861,"2MASS J03401884+2354236",7.5084,23.539704616602144,20.969,-46.638
16487395,55.10634483626,24.17141844786,"2MASS J03402552+2410171",4.3442,21.03,16.556,-19.953
661742,55.12331554239,23.551109971450003,"2MASS J03402958+2333040",6.2018,5.64705,20.8,-36.085
661874,55.21017225493375,23.418441770317227,"2MASS J03405042+2325064",7.5633,5.90197,21.697,-45.498
661187,55.32928002107,25.174331114620003,"2MASS J03411902+2510274",2.9434,-26.66,21.864,-14.703
8376961,55.35817111748459,23.260009462877505,"2MASS J03412595+2315361",7.354,15.349374028974278,21.431,-45.769
661189,55.36159948279,24.905676083260005,"2MASS J03412678+2454202",1.1827,30.18,2.726,-0.82
8376975,55.44439431480042,23.022200895726108,"2MASS J03414664+2301198",7.3823,-4.2360673496126235,21.821,-45.572
661862,55.49057558766,23.66838159796,"2MASS J03415773+2340061",2.6529,28.152,21.307,-45.357
661152,55.50006135620001,25.02980233859,"2MASS J03420001+2501472",7.259,12.1225,19.932,-45.038
661024,55.52025287199584,25.66328240005083,"2MASS J03420486+2539478",7.1833,6.31456,19.612,-44.443
661179,55.57862935512,23.98953960074,"2MASS J03421886+2359222",4.583,-2.75859,24.222,-49.002
661241,55.614986468075415,25.047020544678613,"2MASS J03422759+2502492",7.1323,5.92973,19.371,-43.267
661169,55.61936796608042,25.01680363344472,"2MASS J03422864+2501004",7.4534,5.30132,20.524,-46.808
661403,55.67847156016541,25.28108951612195,"2MASS J03424283+2516519",6.9939,4.71877,19.564,-43.228
661162,55.68249814637999,25.53512651313,"2MASS J03424379+2532064",7.2818,5.11259,20.133,-45.387
8376970,55.71528263048292,23.14552277163222,"2MASS J03425167+2308440",7.319,1128.2509476477783,19.913,-43.607
661032,55.798205964400005,25.423120006449995,"2MASS J03431156+2525231",7.8945,-14.3457,9.271,-58.286
661582,55.80668575077459,25.270133773654717,"2MASS J03431360+2516125",7.4798,5.81019,20.01,-46.015
