oid,ra,dec,Main identifier,Parallax,Radial velocity,pmra,pmdec
763543,76.14228817958332,15.404104742500001,"*  11 Ori",8.93,16.8,17.8,-31.15
763543,76.14228817958332,15.404104742500001,"*  11 Ori",8.93,16.8,17.8,-31.15
763543,76.14228817958332,15.404104742500001,"*  11 Ori",8.93,16.8,17.8,-31.15
763543,76.14228817958332,15.404104742500001,"*  11 Ori",8.93,16.8,17.8,-31.15
768972,76.90963883975667,9.471780448949168,"*  13 Ori",36.2462,-22.281,-5.179,-381.919
768972,76.90963883975667,9.471780448949168,"*  13 Ori",36.2462,-22.281,-5.179,-381.919
768972,76.90963883975667,9.471780448949168,"*  13 Ori",36.2462,-22.281,-5.179,-381.919
768972,76.90963883975667,9.471780448949168,"*  13 Ori",36.2462,-22.281,-5.179,-381.919
768972,76.90963883975667,9.471780448949168,"*  13 Ori",36.2462,-22.281,-5.179,-381.919
768972,76.90963883975667,9.471780448949168,"*  13 Ori",36.2462,-22.281,-5.179,-381.919
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
763608,77.42482144179,15.597213047200002,"*  15 Ori",9.8438,28.79,4.185,-7.263
783554,79.01722775685,11.34135505115,"*  18 Ori",8.3219,-8.2,-7.928,-6.012
783554,79.01722775685,11.34135505115,"*  18 Ori",8.3219,-8.2,-7.928,-6.012
783554,79.01722775685,11.34135505115,"*  18 Ori",8.3219,-8.2,-7.928,-6.012
783554,79.01722775685,11.34135505115,"*  18 Ori",8.3219,-8.2,-7.928,-6.012
783554,79.01722775685,11.34135505115,"*  18 Ori",8.3219,-8.2,-7.928,-6.012
783554,79.01722775685,11.34135505115,"*  18 Ori",8.3219,-8.2,-7.928,-6.012
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700271,63.38787685874999,7.71611596324,"*  46 Tau",26.1562,2.4,11.072,-9.667
700251,63.48493672980735,9.263825808984539,"*  47 Tau",9.83,-7.6586,-10.31,-30.01
700251,63.48493672980735,9.263825808984539,"*  47 Tau",9.83,-7.6586,-10.31,-30.01
700251,63.48493672980735,9.263825808984539,"*  47 Tau",9.83,-7.6586,-10.31,-30.01
9262465,63.48493935442001,9.263824264009997,"*  47 Tau A",7.9622,-7.98,-9.823,-30.085
9262465,63.48493935442001,9.263824264009997,"*  47 Tau A",7.9622,-7.98,-9.823,-30.085
9262465,63.48493935442001,9.263824264009997,"*  47 Tau A",7.9622,-7.98,-9.823,-30.085
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
699355,63.94285197250001,15.400696071220002,"*  48 Tau",21.3037,37.4085,115.597,-21.521
698839,64.59671248392,21.57921915886,"*  51 Tau",19.5053,37.87,89.595,-16.328
698839,64.59671248392,21.57921915886,"*  51 Tau",19.5053,37.87,89.595,-16.328
698839,64.59671248392,21.57921915886,"*  51 Tau",19.5053,37.87,89.595,-16.328
698839,64.59671248392,21.57921915886,"*  51 Tau",19.5053,37.87,89.595,-16.328
698839,64.59671248392,21.57921915886,"*  51 Tau",19.5053,37.87,89.595,-16.328
698839,64.59671248392,21.57921915886,"*  51 Tau",19.5053,37.87,89.595,-16.328
707901,64.85873995604,21.142305268929995,"*  53 Tau",11.93,6.1,28.816,-42.876
707901,64.85873995604,21.142305268929995,"*  53 Tau",11.93,6.1,28.816,-42.876
707901,64.85873995604,21.142305268929995,"*  53 Tau",11.93,6.1,28.816,-42.876
707901,64.85873995604,21.142305268929995,"*  53 Tau",11.93,6.1,28.816,-42.876
707901,64.85873995604,21.142305268929995,"*  53 Tau",11.93,6.1,28.816,-42.876
707901,64.85873995604,21.142305268929995,"*  53 Tau",11.93,6.1,28.816,-42.876
709100,64.9785716578438,16.522591203670864,"*  55 Tau",21.49,38.6342,119.4,-35.48
709100,64.9785716578438,16.522591203670864,"*  55 Tau",21.49,38.6342,119.4,-35.48
709100,64.9785716578438,16.522591203670864,"*  55 Tau",21.49,38.6342,119.4,-35.48
709100,64.9785716578438,16.522591203670864,"*  55 Tau",21.49,38.6342,119.4,-35.48
709100,64.9785716578438,16.522591203670864,"*  55 Tau",21.49,38.6342,119.4,-35.48
709100,64.9785716578438,16.522591203670864,"*  55 Tau",21.49,38.6342,119.4,-35.48
707870,64.90293703909,21.77349078551,"*  56 Tau",11.4023,12.4,28.558,-41.394
707870,64.90293703909,21.77349078551,"*  56 Tau",11.4023,12.4,28.558,-41.394
707870,64.90293703909,21.77349078551,"*  56 Tau",11.4023,12.4,28.558,-41.394
707870,64.90293703909,21.77349078551,"*  56 Tau",11.4023,12.4,28.558,-41.394
707870,64.90293703909,21.77349078551,"*  56 Tau",11.4023,12.4,28.558,-41.394
707870,64.90293703909,21.77349078551,"*  56 Tau",11.4023,12.4,28.558,-41.394
709114,65.15129318402,15.095452823510003,"*  58 Tau",21.0899,34.981,108.443,-21.171
709114,65.15129318402,15.095452823510003,"*  58 Tau",21.0899,34.981,108.443,-21.171
709114,65.15129318402,15.095452823510003,"*  58 Tau",21.0899,34.981,108.443,-21.171
709114,65.15129318402,15.095452823510003,"*  58 Tau",21.0899,34.981,108.443,-21.171
709114,65.15129318402,15.095452823510003,"*  58 Tau",21.0899,34.981,108.443,-21.171
709114,65.15129318402,15.095452823510003,"*  58 Tau",21.0899,34.981,108.443,-21.171
709114,65.15129318402,15.095452823510003,"*  58 Tau",21.0899,34.981,108.443,-21.171
